id,Degerlendirme Puani
0,36.41822
1,22.562647
2,12.670769
3,14.412127
4,36.009106
5,34.4893
6,15.110352
7,10.290068
8,17.754389
9,6.965274
10,41.03684
11,46.366688
12,32.108593
13,48.0385
14,16.410812
15,37.199318
16,23.793516
17,28.5886
18,37.174007
19,33.93445
20,28.277096
21,11.903157
22,21.348988
23,15.736229
24,37.642284
25,15.016438
26,16.63754
27,46.037823
28,35.6223
29,38.005527
30,22.116856
31,32.53425
32,13.133965
33,37.961697
34,29.56732
35,23.198729
36,37.279972
37,23.33371
38,22.831463
39,49.18961
40,30.398521
41,29.73423
42,44.103195
43,36.6374
44,42.651604
45,22.63062
46,22.967583
47,35.587307
48,48.0089
49,29.472443
50,31.019361
51,27.475697
52,22.68059
53,46.81422
54,41.48996
55,45.832664
56,44.460556
57,22.999092
58,38.886307
59,26.603703
60,21.469933
61,22.906517
62,14.598696
63,45.62566
64,26.293022
65,46.112286
66,57.40729
67,23.070581
68,33.392567
69,23.878372
70,52.2756
71,25.363821
72,42.20926
73,28.117376
74,10.247769
75,12.195676
76,23.70243
77,43.337982
78,9.403372
79,23.429562
80,19.252396
81,52.317276
82,26.250584
83,30.18189
84,27.38781
85,8.473481
86,31.35494
87,40.081367
88,30.736712
89,29.282068
90,45.643826
91,30.290726
92,25.839499
93,30.236345
94,12.781245
95,19.13179
96,55.17498
97,36.280945
98,10.834154
99,17.014141
100,38.233902
101,47.986576
102,18.814447
103,27.327555
104,36.24271
105,39.742424
106,38.07551
107,42.07408
108,38.92151
109,27.354858
110,22.235615
111,12.607091
112,9.351293
113,35.530766
114,36.45006
115,44.50624
116,17.822813
117,33.992004
118,35.06874
119,43.08589
120,11.816439
121,30.925884
122,48.22057
123,32.435654
124,22.989454
125,26.827896
126,31.917915
127,25.26791
128,18.040058
129,28.89226
130,22.005432
131,25.371948
132,30.608915
133,38.93254
134,43.07486
135,35.49804
136,48.712467
137,54.407646
138,46.46256
139,51.797607
140,32.22296
141,21.23788
142,23.419699
143,27.389978
144,20.376808
145,17.558365
146,21.932499
147,47.828835
148,20.358088
149,42.05017
150,18.656479
151,46.036083
152,32.80494
153,34.867577
154,26.489038
155,36.425488
156,45.212036
157,11.577582
158,24.552418
159,33.346252
160,46.41152
161,37.673435
162,13.298091
163,11.898502
164,52.009995
165,31.023
166,33.13301
167,30.714193
168,30.846624
169,25.361248
170,29.00364
171,41.611927
172,24.50362
173,57.481953
174,43.267937
175,45.010025
176,53.54949
177,9.192229
178,51.828728
179,22.780222
180,53.20991
181,50.13115
182,50.220036
183,31.535988
184,30.341223
185,9.858294
186,50.044453
187,54.108887
188,16.324865
189,18.748241
190,18.68759
191,24.501385
192,26.345104
193,41.04537
194,33.34886
195,46.43292
196,20.92035
197,38.639336
198,39.346783
199,35.29886
200,16.795576
201,51.88094
202,44.493393
203,37.22108
204,30.261848
205,9.684639
206,27.76626
207,12.730576
208,33.950092
209,30.553175
210,55.64969
211,24.854822
212,40.6255
213,24.157078
214,23.821392
215,45.466133
216,43.36073
